date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:29:05	323002/323002	---M--	200	added ('OK')	image/jpeg	etag:%225be04619-4edba%22	http://bankhar.mn/shopse/demos/img/portfolio/10.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/portfolio/10.jpg	(from http://bankhar.mn/shopse/demos/index-12.html)
17:29:08	16304/16304	---M--	200	added ('OK')	image/jpeg	etag:%225be04619-3fb0%22	http://bankhar.mn/shopse/demos/img/product/e-01.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/product/e-01.jpg	(from http://bankhar.mn/shopse/demos/index-15.html)
17:29:12	56879/56879	---M--	200	added ('OK')	image/jpeg	etag:%225be0461a-de2f%22	http://bankhar.mn/shopse/demos/img/slider/slide-15.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/slider/slide-15.jpg	(from http://bankhar.mn/shopse/demos/index-15.html)
17:29:13	21585/21585	---M--	200	added ('OK')	image/jpeg	etag:%225be04619-5451%22	http://bankhar.mn/shopse/demos/img/product/e-02.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/product/e-02.jpg	(from http://bankhar.mn/shopse/demos/index-15.html)
17:29:18	153116/153116	---M--	200	added ('OK')	image/jpeg	etag:%225be04617-2561c%22	http://bankhar.mn/shopse/demos/img/bg/1.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/bg/1.jpg	(from http://bankhar.mn/shopse/demos/index-14.html)
17:29:18	22715/22715	---M--	200	added ('OK')	image/jpeg	etag:%225be04619-58bb%22	http://bankhar.mn/shopse/demos/img/product/e-04.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/product/e-04.jpg	(from http://bankhar.mn/shopse/demos/index-15.html)
17:29:19	38544/38544	---M--	200	added ('OK')	image/jpeg	etag:%225be04619-9690%22	http://bankhar.mn/shopse/demos/img/product/e-03.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/product/e-03.jpg	(from http://bankhar.mn/shopse/demos/index-15.html)
17:29:21	134218/134218	---M--	200	added ('OK')	image/jpeg	etag:%225be0461a-20c4a%22	http://bankhar.mn/shopse/demos/img/slider/slide-16.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/slider/slide-16.jpg	(from http://bankhar.mn/shopse/demos/index-15.html)
17:29:25	85747/85747	---M--	200	added ('OK')	image/jpeg	etag:%225be0461b-14ef3%22	http://bankhar.mn/shopse/demos/img/banner/style7/banner1.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/banner/style7/banner1.jpg	(from http://bankhar.mn/shopse/demos/index-15.html)
17:29:28	45724/45724	---M--	200	added ('OK')	image/jpeg	etag:%225be0461b-b29c%22	http://bankhar.mn/shopse/demos/img/banner/style7/banner2.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/banner/style7/banner2.jpg	(from http://bankhar.mn/shopse/demos/index-15.html)
